KODERS,NAMARS,VVIP,VIP,KELASI,KELASII,KELASIII,ICU,PICU,NICU,TTBAYIBARULAHIR,HCU,ICCU,IGD,TTOPERASI,TTISOLASI,DOKTERUMUM,DSPOG,DSPPD,DSPB,DSPRAD,DSPRM,DSPAN,DSPJP,DSPM,DSPTHT,DSPPK,DSPPARU,DSPBEDAHTHORAKS,DSPBEDAHANAK,DSPBEDAHORTHOPEDI,DOKTERSPA,DOKTERSKOPUKASI,DOKTERSPOROLUGI,DOKTERSPORTHOPEDI,DOKTERSPKULITDANKELAMIN,DOKTERSPFORENSIK,DOKTERSPPSIKIATRI,DOKTERSPOFTHALMOLOGI,DOKTERSPPATOLOGIANATOMI,DOKTERSPKESJIWA,DOKTERSPSARAF,DOKTERSPLAINNYA,DOKTERSPBEDAHSARAF,DOKTERSPBEDAHPLASTIK,DOKTERSUBSPESIALIS,DOKTERGIGI,DOKTERSPBEDAHMULUT,DOKTERSPKONSERVASU,DOKTERSPPENYAKITMULUT,DOKTERSPRADIOLOGI,DOKTERGIGISPKARANGGIGI,DOKTERGIGISPANAK,DOKTERGIGISPGIGITIRUAN,DOKTERGIGISPGIGIPERIODONISA,DOKTERGIGISPGIGILAINNYA,NERS,PERAWATBEDAH,PERAWATMATERNITAS,PERAWATKOMUNITAS,PERAWATGIGI,PERAWATAMNESTI,PERAWATANAK,PERAWATLAINNYA,BIDANPENDIDIK,BIDANKLINIK,APOTEKER,ANALISFARMASI,RADIOGRAFER,RADIOTERAPIS,ELEKTROMEDIS,TEKNISIGIGI,ANALISISKESEHATAN,REFRAKSIONIS,REKAMMEDIK,ORTOTIK,TEKNISITRANSFUSIDARAH,TEKNISIKARDIOVASKULAR,EPIDEMOLOGI,PROMOSIKESEHATAN,PERILAKU,KESJA,ADMINISTRASIKESEHATAN,BIOSTATISTIK,REPRODUKSI,INFORMASIKESEHATAN,KEMASLAINNYA,SANITASI,ENTOMOLOGI,MIKROBIOLOGI,KESEHATANLINGKUNGAN,TERAPIWICARA,NUTRISIONIS,DIETSIEN,FISIOTERAPI,TERAPIOKUPASI,AKUPUNTURIS,MEJAOPERASI,MESINANESTESI,VENTILATOR,INKUBATOR,BLUELIGHT,USG,XRAY,MRI,EEG,EKG,DEFIBERATOR,AUTOCLAV,SIMRS,AMBULAN,BANKDARAH
3175341,RSUmumPluit,6,42,18,11,16,9,3,3,20,16,0,8,4,2,28,8,8,4,5,0,6,2,3,4,1,3,1,1,0,4,0,2,3,3,0,0,0,0,4,5,4,2,2,0,2,1,1,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3175374,RSUmumPuriMedika,3,4,11,31,39,6,6,4,5,3,3,8,2,5,8,2,2,2,1,0,2,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,2,57,0,0,1,7,5,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3175315,RSUmumSatyaNegara,4,18,18,18,26,6,0,0,0,0,0,9,4,3,10,3,7,5,4,1,3,3,2,2,1,3,0,1,2,4,0,2,2,3,0,0,0,0,2,5,0,5,0,7,5,0,0,0,0,0,0,0,0,0,160,0,0,0,1,0,0,0,22,0,27,0,9,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3175330,RSUmumRoyalProgress,15,4,52,30,41,2,0,1,4,2,0,8,4,5,15,5,6,5,2,2,5,3,7,3,1,2,1,0,4,4,0,2,4,3,0,1,0,1,0,3,0,0,1,2,5,1,0,0,0,0,0,0,1,0,23,17,0,0,1,0,7,131,0,9,7,0,7,0,2,0,12,2,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,8,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
3175396,RSUmumPortMedicalCenter,0,6,5,20,11,0,0,0,3,2,0,0,0,0,18,4,3,2,1,0,2,2,3,1,0,1,0,0,0,3,0,0,2,1,0,0,0,0,0,2,1,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,1,13,5,1,0,0,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
3175181,RSUmumSukmul,0,10,14,17,3,3,4,0,10,3,0,5,2,4,17,4,2,2,1,1,4,0,3,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,90,9,0,0,2,0,0,0,0,21,2,12,4,0,0,0,8,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
3175363,RSIbudanAnakFamily,3,3,19,12,15,0,0,4,30,4,0,0,0,1,5,20,1,2,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3175409,RSIbudanAnakGrandFamily,0,7,17,2,12,0,2,0,35,1,0,3,3,0,4,15,1,1,1,0,6,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3175064,RSPenyakitInfeksiProfDrSuliantiSaroso,0,2,26,16,115,3,0,0,5,5,0,12,2,14,30,2,3,1,1,1,3,0,2,1,3,5,0,0,1,5,0,0,1,1,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,187,0,15,5,13,9,0,9,0,5,0,9,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,6,0,5,0,3,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
3174509,RSIbudanAnakStYusuf,0,1,4,13,6,0,0,0,0,0,0,4,3,1,7,3,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
